time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
8.1,1.700000048,108,24.07818794,0.826984465,-79.78282298,40.45904256,264.665151,0.016964193,-0.002637629,-0.726662278,0.686780393,0.001225863,-0.000464693,0.008145301,-0.000302005,0.003045318,0.005470782,0.267351912,-0.205714621,-9.802268811
8.2,1.700000048,107,24.11199188,0.357829839,-79.78282298,40.45904256,264.6667907,0.0169576,-0.002633171,-0.726661325,0.686781585,0.001544227,0.000152305,0.008483639,0.00245724,0.003020239,0.005559339,0.270457515,-0.208085667,-9.801556036
8.4,1.399999976,103,24.10573196,0.326022744,-79.78282288,40.45904253,264.6737015,0.016974984,-0.002627693,-0.726668119,0.686773896,-0.003184702,0.000613258,0.009354952,-0.002703765,-0.001147783,-0.000522102,0.267934094,-0.199846447,-9.800732748
8.5,1.5,104,24.10823631,0.341926277,-79.78282278,40.45904248,264.6820037,0.016960174,-0.002616772,-0.726639032,0.686805189,-1.62E-05,0.002238148,0.010293395,-0.001627065,0.003890012,0.002029045,0.266926235,-0.19540757,-9.800876005
8.6,1.399999976,103,24.10448074,0.326022744,-79.78282278,40.45904248,264.6830344,0.016952315,-0.002617596,-0.72667253,0.686769903,-6.57E-07,0.00291108,0.010371294,0.000336355,-0.00204157,0.000282341,0.269200327,-0.197490293,-9.803524793
8.8,1.399999976,101,24.10698509,0.373733371,-79.78282267,40.45904243,264.6901658,0.01698201,-0.002616304,-0.726657212,0.6867854,0.000244187,0.002826009,0.006903408,0.001373106,-0.006026769,0.00016334,0.27387883,-0.208501002,-9.805699958
9,1.200000048,102,24.0969677,0.46120289,-79.78282267,40.45904243,264.6908903,0.0169753,-0.002618779,-0.72665751,0.686785221,0.001189203,0.002622831,0.007535523,0.002256199,0.002904495,0.004991891,0.257206719,-0.209916449,-9.80305877
9.1,1.200000048,99,24.09571648,0.469154656,-79.7828226,40.45904239,264.6983133,0.016969023,-0.002609416,-0.726665854,0.686776578,0.000343442,-0.00120271,0.00667435,-0.004002521,-0.000385626,0.002202809,0.260043861,-0.195812088,-9.80934979
9.3,1.100000024,99,23.99680328,1.399512172,-79.78282261,40.45904239,264.6990166,0.017127436,-0.00259661,-0.726552725,0.686892331,0.002168409,-0.003422471,0.007616971,-0.004566954,-0.005065278,0.012134148,0.241157026,-0.171249086,-9.801402839
9.4,1.100000024,99,24.09070778,0.429395795,-79.7828225,40.45904231,264.7062231,0.017317442,-0.002561818,-0.726515174,0.686927497,0.003222855,0.002057334,0.005305195,-0.038280308,0.001826633,-0.008961122,0.275797411,-0.204243681,-9.786639789
9.6,1.100000024,105,23.21928024,10.77465343,-79.7828224,40.45904227,264.7139249,0.017262327,-0.002559732,-0.726507723,0.686936677,0.002261641,0.00114502,0.002464447,0.029004589,0.023086373,-0.001214926,0.29102442,-0.265519432,-9.8091504
9.7,1.299999952,101,24.01934052,1.057585955,-79.7828224,40.45904226,264.7146668,0.017417466,-0.00253954,-0.726400554,0.687046289,0.001628088,0.003641465,0.002411052,0.008392503,-0.039128277,0.001803426,0.281779424,-0.225717234,-9.776970833
